- hā lou dàjiā hǎo  wǒ shì wáng gāng	 [00:00,0]
    Hello everyone, I am Wang Gang   [00:00,0]
- běnqī shìpín gēn dàjiā fēnxiǎng yīdào jiācháng cài	 [00:01,2]
    In this video, I will share a home-style dish with you   [00:01,2]
- chuántǒng bǎn shǔi zhǔ níuròu	 [00:03,5]
    Traditional Sichuan Spicy Boiled Beef   [00:03,5]
- shǒuxiān wǒmen zhǔnbèi xīnxiān de níu lǐ jí 1 kuài （ yuē 450 kè ）	 [00:05,2]
    First, we prepare a piece of fresh beef loin (about 450 grams)   [00:05,2]
- fàng rù pén zhōngyòng qīngshǔi qīngxǐ gānjìng	 [00:07,7]
    Put it in a bowl and clean it with water   [00:07,7]
- xià yī bù kāishǐ gǎi dāo	 [00:10,1]
    Next, we start slicing the meat   [00:10,1]
- shǒuxiān wǒmen bǎ níuròu qiē chéng xiǎo kuài bìng zhǎodào wénlǐ	 [00:12,9]
    First, cut the beef into big pieces and find the muscle grain   [00:12,9]
- zài qízhōng yīmiàn kěyǐ míngxiǎn de kàndào xiàntiáo zhuàng	 [00:17,1]
    You can clearly see the muscle fibre lines on the cutting side   [00:17,1]
- dùi zháo xiàntiáo de zòngxiàng jìu nénggòu qiē chū nì wénlǐ	 [00:19,8]
    Cut against the fibre to get cross-grain slices   [00:19,8]
- suǒwèi de héng jīn jìushì níuròu xiānwéi de héng jié miàn	 [00:23,0]
    Cross-grain refers to the cross-section of beef muscle fibers   [00:23,0]
- zhèyáng chùlǐ de níuròu jīngguò pēngrèn zhīhòu cái bù hùi yǎo bù dòng	 [00:25,8]
    This way, after cooking, the beef will be very tender and easy to chew   [00:25,8]
- ránhòu bǎ níuròu qiē chéng hòu bó jūn yún de bó piàn bèiyòng	 [00:29,3]
    Then cut the beef into evenly thin slices for later use   [00:29,3]
- níuròu qiē hǎo zhīhòu xià yī bù kāishǐ yān zhì	 [00:32,0]
    After cutting the beef, the next step is marination   [00:32,0]
- pén zhōng jiārù shíyòng yán5 kè	 [00:34,3]
    Add 5 grams of table salt to the bowl   [00:34,3]
- jiārù shìliàng de shēng chōu jiàngyóu （ yuē 5 kè ）	 [00:36,4]
    Add some light soy sauce (about 5 grams)   [00:36,4]
- jiārù dàbàn gè jīdàn qīng	 [00:38,0]
    Add half an egg white   [00:38,0]
- jiārù shìliàng de lǎo chōudiào sè	 [00:43,1]
    Add some dark soy sauce for coloring   [00:43,1]
- ránhòu bǎ níuròu zhuā bàn jūn yún	 [00:44,9]
    Then mix the beef well   [00:44,9]
- zhōngtú shǎoliàng duōcì de jiārù qīngshǔi jiǎobàn jìnqù	 [00:47,6]
    Gradually add small amounts of water while stirring   [00:47,6]
- zhè yī bù de mùde shì ràng níuròu xī shǔi péngzhàng gèng nèn	 [00:50,4]
    The purpose of this step is to let the beef absorb water and become more tender   [00:50,4]
- tóngxué men qiējì	 [00:53,2]
    Pay attention in this step   [00:53,2]
- měicì jiā shǔi dū bù néng jiā tài duō	 [00:54,3]
    Don’t add too much water at once   [00:54,3]
- zhǐnéng zài jiǎobàn de shíhòu xīshōu yīdiǎn	 [00:56,2]
    Only add little by little while stirring to let it absorb   [00:56,2]
- zài jiārù yīdiǎn	 [00:58,3]
    Then add a bit more   [00:58,3]
- zhídào níuròu wúfǎ jìxù xīshōu shǔifēn jíkě	 [01:00,2]
    Until the beef can't absorb any more water   [01:00,2]
- xī shǔi de níuròu kàn qǐlái jīngyíng bǎomǎn	 [01:04,4]
    The hydrated beef looks more shiny and plump   [01:04,4]
- ránhòu jiārù shìliàng de hóngshǔ diànfěn bàn yún	 [01:07,0]
    Then add some sweet potato starch and mix well   [01:07,0]
- zùihòu jiārù shìliàng de zhíwùyóu fēng zhù níuròu	 [01:11,2]
    Finally, add some vegetable oil to seal in the beef   [01:11,2]
- zhè yī bù de mùde shì ràng níuròu bǎo shǔi	 [01:13,8]
    The purpose of this step is to retain moisture   [01:13,8]
- fángzhǐ shǔifēn zhēng fā	 [01:15,7]
    To prevent water from evaporating   [01:15,7]
- xià yī bù kāishǐ zhǔnbèi fǔliào	 [01:17,2]
    Next, we prepare the other ingredients   [01:17,2]
- zhǔnbèi “ fèngwěi ” 1 gēn qǔ xià yèzǐ	 [01:19,6]
    Prepare one phoenix tail (Chinese stem lettuce), remove the leaves   [01:19,6]
- qùchú gēn jīng de lǎo pí zhīhòu qiē chéng bó piàn bèiyòng	 [01:21,8]
    Peel off the skin of the stem and slice thinly for later use   [01:21,8]
- méiyǒu fèngwěi de tóngxué yě kěyǐ yòng yóu mài cài dàitì	 [01:24,3]
